date,msft,brk-b,z-spark,x-qoz,z-fnz,temp
01 01 1978,37.5,26.25,53.75,50,55,19.8
01 02 1978,12.5,15,18.75,25,32.5,24.3
01 03 1978,26.25,22.5,37.5,31.25,40,28.4
01 04 1978,11.25,10,8.75,10,17.5,27.4
01 05 1978,60,41.25,47.5,27.5,60,29.9
01 06 1978,77.5,65,83.75,63.75,97.5,28.9
01 07 1978,65,42.5,68.75,57.5,75,25.1
01 08 1978,61.25,33.75,50,53.75,80,26.4
01 09 1978,13.75,10,11.25,7.5,15,23.7
01 10 1978,35,33.75,37.5,33.75,57.5,23.3
01 11 1978,62.5,33.75,67.5,57.5,70,22.8
01 12 1978,62.5,41.25,66.25,60,67.5,31.8
01 01 1979,27.5,18.75,33.75,32.5,37.5,24.9
01 02 1979,46.25,36.25,48.75,42.5,62.5,22.1
01 03 1979,62.5,45,72.5,63.75,85,32.4
01 04 1979,55,41.25,68.75,56.25,87.5,21.7
01 05 1979,38.75,35,50,41.25,65,23.7
01 06 1979,41.25,27.5,51.25,46.25,52.5,34.8
01 07 1979,37.5,28.75,50,41.25,45,28.3
01 08 1979,43.75,31.25,55,48.75,55,33.4
01 09 1979,22.5,22.5,27.5,23.75,32.5,23.0
01 10 1979,82.5,51.25,92.5,82.5,92.5,22.5
01 11 1979,40,30,43.75,43.75,55,35.9
01 12 1979,25,30,33.75,35,42.5,29.8
01 01 1980,37.5,33.75,41.25,40,42.5,31.2
01 02 1980,41.25,31.25,42.5,40,62.5,30.8
01 03 1980,45,30,47.5,41.25,57.5,31.6
01 04 1980,25,11.25,11.25,20,30,23.3
01 05 1980,58.75,46.25,66.25,60,80,24.8
01 06 1980,57.5,56.25,73.75,63.75,80,24.9
01 07 1980,61.25,48.75,67.5,67.5,80,31.0
01 08 1980,37.5,26.25,37.5,42.5,50,33.1
01 09 1980,23.75,21.25,22.5,21.25,32.5,29.3
01 10 1980,53.75,43.75,60,51.25,65,36.8
01 11 1980,70,48.75,76.25,80,90,24.3
01 12 1980,41.25,33.75,47.5,43.75,50,39.3
01 01 1981,47.5,40,56.25,52.5,60,34.0
01 02 1981,42.5,30,57.5,56.25,57.5,24.6
01 03 1981,26.25,28.75,37.5,32.5,40,26.2
01 04 1981,67.5,47.5,72.5,67.5,77.5,33.9
01 05 1981,81.25,50,85,78.75,85,40.3
01 06 1981,23.75,27.5,22.5,18.75,32.5,27.3
01 07 1981,31.25,27.5,26.25,31.25,42.5,38.7
01 08 1981,42.5,47.5,47.5,46.25,62.5,39.6
01 09 1981,45,37.5,48.75,55,60,32.7
01 10 1981,42.5,55,36.25,42.5,65,34.3
01 11 1981,62.5,60,67.5,70,67.5,38.0
01 12 1981,48.75,50,58.75,56.25,62.5,27.4
01 01 1982,56.25,47.5,55,53.75,57.5,26.8
01 02 1982,40,33.75,38.75,35,42.5,26.2
01 03 1982,53.75,57.5,47.5,38.75,42.5,39.5
01 04 1982,85,70,81.25,76.25,62.5,29.4
01 05 1982,80,70,70,71.25,67.5,31.8
01 06 1982,35,37.5,40,40,50,26.8
01 07 1982,41.25,45,36.25,31.25,50,26.9
01 08 1982,82.5,71.25,67.5,72.5,77.5,32.3
01 09 1982,47.5,47.5,46.25,43.75,42.5,43.8
01 10 1982,62.5,61.25,53.75,50,56.25,41.7
01 11 1982,78.75,63.75,60,70,62.5,31.2
01 12 1982,53.75,48.75,50,33.75,56.25,34.4
01 01 1983,78.75,72.5,63.75,48.75,71.25,34.6
01 02 1983,100,90,76.25,85,97.5,37.1
01 03 1983,90,73.75,71.25,77.5,78.75,38.8
01 04 1983,147.5,110,116.25,136.25,135,35.9
01 05 1983,88.75,77.5,83.75,61.25,75,36.0
01 06 1983,37.5,31.25,25,38.75,38.75,34.6
01 07 1983,38.75,36.25,37.5,42.5,46.25,36.4
01 08 1983,66.25,55,51.25,48.75,66.25,37.3
01 09 1983,57.5,40,50,41.25,58.75,28.7
01 10 1983,71.25,47.5,63.75,46.25,52.5,40.1
01 11 1983,68.75,60,76.25,72.5,63.75,38.7
01 12 1983,55,48.75,60,51.25,43.75,46.1
01 01 1984,56.25,48.75,57.5,43.75,48.75,31.7
01 02 1984,97.5,85,102.5,86.25,81.25,46.5
01 03 1984,58.75,48.75,70,55,51.25,33.6
01 04 1984,63.75,56.25,75,51.25,51.25,47.0
01 05 1984,70,60,77.5,65,63.75,45.5
01 06 1984,38.75,46.25,47.5,40,40,48.2
01 07 1984,80,73.75,85,67.5,66.25,34.2
01 08 1984,55,50,60,43.75,46.25,45.3
01 09 1984,50,45,57.5,48.75,51.25,43.0
01 10 1984,65,60,61.25,48.75,50,44.8
01 11 1984,61.25,46.25,60,58.75,61.25,38.2
01 12 1984,36.25,35,33.75,32.5,48.75,46.1
01 01 1985,88.75,72.5,72.5,77.5,63.75,36.9
01 02 1985,82.5,58.75,75,78.75,88.75,31.8
01 03 1985,46.25,28.75,48.75,43.75,51.25,31.1
01 04 1985,73.75,75,70,71.25,63.75,35.6
01 05 1985,83.75,57.5,72.5,72.5,76.25,36.6
01 06 1985,81.25,51.25,63.75,65,66.25,48.1
01 07 1985,91.25,60,75,72.5,82.5,46.6
01 08 1985,46.25,40,47.5,36.25,35,36.2
01 09 1985,92.5,76.25,91.25,82.5,70,31.9
