date,msft,brk-b,z-spark,x-qoz,z-fnz,temp,astro,linekin,macro
01 01 1978,37.5,26.25,53.75,50,55,19.8,22.0,31.8,24.7
01 02 1978,12.5,15,18.75,25,32.5,24.3,32.1,20.4,23.8
01 03 1978,26.25,22.5,37.5,31.25,40,28.4,24.5,23.9,27.8
01 04 1978,11.25,10,8.75,10,17.5,27.4,30.2,32.5,22.4
01 05 1978,60,41.25,47.5,27.5,60,29.9,26.5,24.8,28.7
01 06 1978,77.5,65,83.75,63.75,97.5,28.9,29.5,23.3,23.8
01 07 1978,65,42.5,68.75,57.5,75,25.1,23.4,24.6,28.0
01 08 1978,61.25,33.75,50,53.75,80,26.4,29.9,33.3,21.3
01 09 1978,13.75,10,11.25,7.5,15,23.7,33.5,27.2,28.9
01 10 1978,35,33.75,37.5,33.75,57.5,23.3,23.3,22.1,33.2
01 11 1978,62.5,33.75,67.5,57.5,70,22.8,25.2,31.6,25.2
01 12 1978,62.5,41.25,66.25,60,67.5,31.8,33.6,24.2,24.2
01 01 1979,27.5,18.75,33.75,32.5,37.5,24.9,30.8,32.6,34.4
01 02 1979,46.25,36.25,48.75,42.5,62.5,22.1,22.1,31.0,23.3
01 03 1979,62.5,45,72.5,63.75,85,32.4,27.0,24.6,22.8
01 04 1979,55,41.25,68.75,56.25,87.5,21.7,25.4,24.8,27.2
01 05 1979,38.75,35,50,41.25,65,23.7,32.2,24.9,21.9
01 06 1979,41.25,27.5,51.25,46.25,52.5,34.8,30.6,31.2,24.5
01 07 1979,37.5,28.75,50,41.25,45,28.3,24.6,33.2,33.2
01 08 1979,43.75,31.25,55,48.75,55,33.4,35.3,34.0,24.1
01 09 1979,22.5,22.5,27.5,23.75,32.5,23.0,34.2,30.5,22.4
01 10 1979,82.5,51.25,92.5,82.5,92.5,22.5,28.2,33.2,31.9
01 11 1979,40,30,43.75,43.75,55,35.9,32.7,22.7,27.7
01 12 1979,25,30,33.75,35,42.5,29.8,34.8,36.1,23.4
01 01 1980,37.5,33.75,41.25,40,42.5,31.2,26.1,24.2,22.9
01 02 1980,41.25,31.25,42.5,40,62.5,30.8,27.5,33.3,25.6
01 03 1980,45,30,47.5,41.25,57.5,31.6,34.1,27.7,24.5
01 04 1980,25,11.25,11.25,20,30,23.3,29.2,33.0,26.6
01 05 1980,58.75,46.25,66.25,60,80,24.8,29.3,35.2,26.7
01 06 1980,57.5,56.25,73.75,63.75,80,24.9,33.4,33.4,29.5
01 07 1980,61.25,48.75,67.5,67.5,80,31.0,25.7,27.0,33.6
01 08 1980,37.5,26.25,37.5,42.5,50,33.1,34.5,25.2,26.5
01 09 1980,23.75,21.25,22.5,21.25,32.5,29.3,32.0,26.7,35.3
01 10 1980,53.75,43.75,60,51.25,65,36.8,30.1,35.5,24.8
01 11 1980,70,48.75,76.25,80,90,24.3,29.6,37.7,24.3
01 12 1980,41.25,33.75,47.5,43.75,50,39.3,37.9,33.2,26.4
01 01 1981,47.5,40,56.25,52.5,60,34.0,28.6,38.1,35.4
01 02 1981,42.5,30,57.5,56.25,57.5,24.6,33.5,28.8,32.9
01 03 1981,26.25,28.75,37.5,32.5,40,26.2,26.8,25.5,36.5
01 04 1981,67.5,47.5,72.5,67.5,77.5,33.9,32.5,34.6,26.3
01 05 1981,81.25,50,85,78.75,85,40.3,38.3,31.3,29.9
01 06 1981,23.75,27.5,22.5,18.75,32.5,27.3,32.2,34.3,30.1
01 07 1981,31.25,27.5,26.25,31.25,42.5,38.7,40.8,40.8,28.1
01 08 1981,42.5,47.5,47.5,46.25,62.5,39.6,28.3,26.9,36.7
01 09 1981,45,37.5,48.75,55,60,32.7,37.6,26.3,34.8
01 10 1981,42.5,55,36.25,42.5,65,34.3,38.6,38.6,38.6
01 11 1981,62.5,60,67.5,70,67.5,38.0,30.1,28.0,29.4
01 12 1981,48.75,50,58.75,56.25,62.5,27.4,40.4,37.5,26.7
01 01 1982,56.25,47.5,55,53.75,57.5,26.8,37.7,30.4,31.9
01 02 1982,40,33.75,38.75,35,42.5,26.2,39.3,26.2,40.1
01 03 1982,53.75,57.5,47.5,38.75,42.5,39.5,41.0,35.2,27.8
01 04 1982,85,70,81.25,76.25,62.5,29.4,39.0,34.6,35.3
01 05 1982,80,70,70,71.25,67.5,31.8,28.8,29.6,31.1
01 06 1982,35,37.5,40,40,50,26.8,36.4,42.4,40.1
01 07 1982,41.25,45,36.25,31.25,50,26.9,39.6,28.4,35.1
01 08 1982,82.5,71.25,67.5,72.5,77.5,32.3,28.5,33.0,34.5
01 09 1982,47.5,47.5,46.25,43.75,42.5,43.8,36.2,41.5,27.2
01 10 1982,62.5,61.25,53.75,50,56.25,41.7,31.1,31.8,42.4
01 11 1982,78.75,63.75,60,70,62.5,31.2,39.6,38.1,28.2
01 12 1982,53.75,48.75,50,33.75,56.25,34.4,37.5,38.3,43.6
01 01 1983,78.75,72.5,63.75,48.75,71.25,34.6,40.8,31.5,44.6
01 02 1983,100,90,76.25,85,97.5,37.1,33.2,41.7,30.1
01 03 1983,90,73.75,71.25,77.5,78.75,38.8,41.1,39.6,44.2
01 04 1983,147.5,110,116.25,136.25,135,35.9,39.0,32.0,40.6
01 05 1983,88.75,77.5,83.75,61.25,75,36.0,29.8,33.7,28.2
01 06 1983,37.5,31.25,25,38.75,38.75,34.6,44.1,35.4,36.2
01 07 1983,38.75,36.25,37.5,42.5,46.25,36.4,41.1,38.0,42.7
01 08 1983,66.25,55,51.25,48.75,66.25,37.3,40.5,32.6,42.9
01 09 1983,57.5,40,50,41.25,58.75,28.7,34.3,36.7,28.7
01 10 1983,71.25,47.5,63.75,46.25,52.5,40.1,31.3,30.5,43.3
01 11 1983,68.75,60,76.25,72.5,63.75,38.7,41.1,32.2,43.5
01 12 1983,55,48.75,60,51.25,43.75,46.1,30.8,42.9,42.9
01 01 1984,56.25,48.75,57.5,43.75,48.75,31.7,33.3,43.1,47.2
01 02 1984,97.5,85,102.5,86.25,81.25,46.5,35.1,36.7,41.6
01 03 1984,58.75,48.75,70,55,51.25,33.6,42.7,41.0,39.4
01 04 1984,63.75,56.25,75,51.25,51.25,47.0,29.7,43.7,35.4
01 05 1984,70,60,77.5,65,63.75,45.5,40.6,35.6,43.9
01 06 1984,38.75,46.25,47.5,40,40,48.2,32.4,34.1,34.9
01 07 1984,80,73.75,85,67.5,66.25,34.2,46.8,33.4,30.1
01 08 1984,55,50,60,43.75,46.25,45.3,31.0,45.3,45.3
01 09 1984,50,45,57.5,48.75,51.25,43.0,36.2,47.2,41.3
01 10 1984,65,60,61.25,48.75,50,44.8,43.1,32.1,49.1
01 11 1984,61.25,46.25,60,58.75,61.25,38.2,34.0,49.3,35.7
01 12 1984,36.25,35,33.75,32.5,48.75,46.1,31.6,35.8,34.1
01 01 1985,88.75,72.5,72.5,77.5,63.75,36.9,30.9,46.3,42.0
01 02 1985,82.5,58.75,75,78.75,88.75,31.8,38.7,35.3,49.1
01 03 1985,46.25,28.75,48.75,43.75,51.25,31.1,38.0,46.7,38.0
01 04 1985,73.75,75,70,71.25,63.75,35.6,47.7,33.9,40.8
01 05 1985,83.75,57.5,72.5,72.5,76.25,36.6,47.9,45.3,40.1
01 06 1985,81.25,51.25,63.75,65,66.25,48.1,47.3,31.5,42.9
01 07 1985,91.25,60,75,72.5,82.5,46.6,43.9,40.4,44.8
01 08 1985,46.25,40,47.5,36.25,35,36.2,41.5,38.8,37.1
01 09 1985,92.5,76.25,91.25,82.5,70,31.9,36.3,33.7,33.7
01 10 1985,66.25,43.75,53.75,43.75,61.25,50.7,44.5,37.4,48.1
01 11 1985,68.75,47.5,55,60,68.75,44.7,33.1,42.0,36.6
01 12 1985,60,48.75,47.5,43.75,62.5,44.9,33.2,44.9,48.5
01 01 1986,80,55,62.5,61.25,81.25,46.0,33.3,37.8,44.1
01 02 1986,80,58.75,63.75,70,77.5,32.6,32.6,40.7,42.5
01 03 1986,77.5,50,52.5,65,83.75,45.4,45.4,51.8,48.1
01 04 1986,71.25,42.5,53.75,66.25,72.5,47.4,47.4,44.7,37.4
01 05 1986,80,43.75,56.25,66.25,77.5,34.8,37.5,36.6,50.4
01 06 1986,61.25,42.5,48.75,53.75,66.25,36.8,36.8,43.2,36.8
01 07 1986,56.25,37.5,40,53.75,61.25,35.1,49.8,43.4,52.6
01 08 1986,56.25,46.25,45,52.5,72.5,52.8,38.0,35.2,38.9
01 09 1986,48.75,45,36.25,46.25,57.5,38.1,45.6,38.1,44.7
01 10 1986,78.75,61.25,67.5,93.75,92.5,50.4,46.7,35.5,45.8
01 11 1986,60,43.75,58.75,58.75,71.25,34.7,54.4,39.4,40.3
01 12 1986,72.5,57.5,57.5,53.75,60,54.6,39.5,43.3,41.4
01 01 1987,85,51.25,65,72.5,82.5,49.1,53.9,47.2,52.0
01 02 1987,102.5,63.75,77.5,85,92.5,37.0,36.0,45.5,47.4
01 03 1987,105,73.75,85,91.25,97.5,53.3,38.1,51.4,46.7
01 04 1987,123.75,82.5,93.75,98.75,107.5,50.7,38.2,49.7,45.9
01 05 1987,106.25,66.25,82.5,101.25,115,35.5,38.4,43.2,53.7
01 06 1987,55,40,35,42.5,56.25,42.4,51.1,40.5,53.9
01 07 1987,81.25,68.75,57.5,66.25,78.75,37.7,46.4,49.3,55.1
01 08 1987,71.25,61.25,50,51.25,55,53.4,50.5,34.9,35.9
01 09 1987,52.5,48.75,30,42.5,40,52.6,44.8,56.5,40.9
01 10 1987,53.75,55,31.25,51.25,43.75,56.7,43.0,43.0,41.1
01 11 1987,95,73.75,63.75,73.75,80,46.1,35.3,37.3,56.9
01 12 1987,56.25,47.5,40,46.25,48.75,54.2,47.3,42.4,45.3
01 01 1988,80,73.75,56.25,62.5,66.25,36.6,48.5,48.5,44.5
01 02 1988,50,58.75,41.25,45,52.5,54.6,45.7,49.6,37.7
01 03 1988,75,73.75,56.25,61.25,68.75,55.8,36.9,42.8,57.8
01 04 1988,120,93.75,95,83.75,95,51.0,41.0,46.0,50.0
01 05 1988,77.5,66.25,60,60,65,57.7,50.5,58.7,57.7
01 06 1988,97.5,80,73.75,76.25,86.25,60.4,48.8,57.2,58.3
01 07 1988,43.75,40,53.75,40,48.75,61.0,48.0,62.1,51.2
01 08 1988,25,32.5,27.5,32.5,31.25,42.6,62.7,43.7,57.1
01 09 1988,25,22.5,20,27.5,41.25,50.6,66.7,57.5,65.6
01 10 1988,30,25,23.75,33.75,33.75,62.5,42.5,51.9,43.7
01 11 1988,62.5,43.75,50,46.25,57.5,65.3,66.6,58.1,60.5
01 12 1988,81.25,58.75,67.5,72.5,70,71.9,68.2,69.4,67.0
01 01 1989,88.75,68.75,71.25,80,76.25,69.9,62.2,71.1,73.7
01 02 1989,107.5,81.25,97.5,103.75,95,72.8,74.1,71.5,49.4
01 03 1989,100,68.75,88.75,86.25,97.5,59.9,65.2,77.1,67.8
01 04 1989,91.25,62.5,72.5,82.5,81.25,66.6,77.5,69.4,68.0
01 05 1989,91.25,62.5,70,76.25,77.5,58.4,57.0,66.7,76.5
01 06 1989,92.5,58.75,68.75,77.5,78.75,75.3,56.8,56.8,69.6
01 07 1989,82.5,67.5,65,77.5,76.25,62.4,58.0,59.5,52.2
01 08 1989,101.25,76.25,83.75,87.5,95,66.6,53.3,77.0,63.6
01 09 1989,81.25,57.5,62.5,73.75,80,57.4,61.9,66.4,71.0
01 10 1989,96.25,73.75,75,88.75,97.5,63.1,84.7,89.3,64.7
01 11 1989,95,67.5,68.75,88.75,87.5,61.2,87.9,59.7,62.8
01 12 1989,103.75,78.75,82.5,95,97.5,92.8,84.8,65.6,70.4
01 01 1990,110,80,86.25,97.5,102.5,89.7,94.5,94.5,63.6
01 02 1990,112.5,87.5,88.75,97.5,100,94.6,68.1,59.8,79.7
01 03 1990,126.25,97.5,87.5,116.25,110,69.3,91.3,89.6,91.3
01 04 1990,63.75,46.25,42.5,65,58.75,68.8,67.1,86.0,79.1
01 05 1990,121.25,98.75,92.5,113.75,115,82.3,87.5,89.3,92.8
01 06 1990,83.75,63.75,62.5,76.25,80,90.8,76.5,99.7,89.0
01 07 1990,57.5,45,45,55,53.75,97.7,83.3,97.7,97.7
01 08 1990,91.25,66.25,66.25,78.75,86.25,95.7,103.0,103.0,88.3
01 09 1990,103.75,78.75,75,93.75,92.5,106.6,80.4,99.1,72.9
01 10 1990,93.75,76.25,67.5,85,88.75,79.8,91.2,72.2,81.7
01 11 1990,107.5,83.75,73.75,86.25,93.75,79.1,81.1,81.1,111.9
01 12 1990,108.75,83.75,78.75,97.5,101.25,78.4,101.9,84.3,96.0
01 01 1991,120,103.75,96.25,110,112.5,77.6,81.6,71.6,105.5
01 02 1991,100,78.75,76.25,87.5,93.75,90.9,76.8,90.9,115.1
01 03 1991,120,96.25,88.75,105,108.75,75.9,110.7,118.9,106.6
01 04 1991,112.5,85,81.25,93.75,100,104.0,106.1,97.8,74.9
01 05 1991,82.5,67.5,66.25,75,72.5,113.9,76.0,97.1,76.0
01 06 1991,68.75,61.25,50,63.75,67.5,113.4,113.4,117.7,119.8
01 07 1991,62.5,48.75,40,58.75,53.75,123.7,102.0,112.8,78.1
01 08 1991,125,105,97.5,115,117.5,123.2,96.8,116.6,123.2
01 09 1991,128.75,105,97.5,116.25,115,118.2,129.3,93.7,118.2
01 10 1991,133.75,103.75,103.75,121.25,118.75,81.4,81.4,113.0,83.6
01 11 1991,93.75,77.5,68.75,85,83.75,130.5,123.7,132.8,126.0
01 12 1991,125,98.75,101.25,113.75,112.5,85.8,102.1,134.6,132.2
01 01 1992,122.5,100,88.75,100,101.25,122.2,108.1,89.3,94.0
01 02 1992,137.5,112.5,113.75,123.75,131.25,130.9,128.5,126.1,102.3
01 03 1992,118.75,96.25,92.5,111.25,108.75,135.0,135.0,137.4,108.5
01 04 1992,147.5,116.25,113.75,123.75,127.5,97.6,90.3,92.7,87.8
01 05 1992,65,51.25,50,56.25,61.25,98.8,130.9,108.7,128.4
01 06 1992,60,41.25,42.5,55,48.75,140.0,120.0,140.0,125.0
01 07 1992,52.5,40,42.5,48.75,52.5,121.4,126.5,108.8,91.1
01 08 1992,65,52.5,42.5,50,61.25,99.8,122.9,97.3,97.3
01 09 1992,76.25,60,56.25,70,76.25,106.2,132.1,114.0,121.7
01 10 1992,116.25,87.5,91.25,87.5,101.25,128.4,112.7,141.5,152.0
01 11 1992,130,110,103.75,101.25,116.25,127.2,143.1,119.3,108.7
01 12 1992,128.75,98.75,97.5,98.75,111.25,134.0,112.6,131.3,155.4
01 01 1993,101.25,83.75,77.5,75,90,100.3,113.8,113.8,127.4
01 02 1993,117.5,93.75,92.5,92.5,103.75,137.0,115.1,106.9,98.6
01 03 1993,128.75,108.75,98.75,101.25,115,157.9,141.3,127.4,108.0
01 04 1993,130,96.25,106.25,103.75,112.5,112.0,134.4,123.2,154.0
01 05 1993,57.5,50,43.75,53.75,55,158.5,116.0,121.7,124.5
01 06 1993,111.25,95,87.5,96.25,108.75,145.9,114.4,105.8,117.3
01 07 1993,122.5,100,98.75,100,112.5,156.1,147.4,156.1,144.5
01 08 1993,130,105,101.25,106.25,117.5,128.5,113.9,143.1,108.0
01 09 1993,142.5,118.75,110,116.25,122.5,147.5,138.7,123.9,165.2
01 10 1993,138.75,107.5,116.25,141.25,127.5,134.1,107.3,160.9,116.2
01 11 1993,136.25,120,105,106.25,120,156.5,126.4,150.5,147.5
01 12 1993,132.5,108.75,103.75,100,115,161.1,152.0,145.9,149.0
01 01 1994,130,107.5,103.75,100,116.25,165.8,132.0,150.4,178.1
01 02 1994,96.25,83.75,80,75,93.75,114.7,158.1,130.2,161.2
01 03 1994,93.33333333,80,78.75,75,88.75,175.3,178.4,122.1,172.2
01 04 1994,146.6666667,122.5,113.75,110,130,132.7,113.8,145.4,173.8
01 05 1994,81.66666667,62.5,62.5,72.5,78.75,118.0,137.2,178.6,140.4
01 06 1994,93.33333333,71.25,75,73.75,83.75,167.4,161.0,186.8,148.1
01 07 1994,120,97.5,100,100,111.25,182.0,182.0,139.8,188.5
01 08 1994,105,85,87.5,86.25,93.75,121.4,150.9,141.0,121.4
01 09 1994,111.6666667,87.5,96.25,83.75,95,139.0,192.0,165.5,149.0
01 10 1994,86.66666667,70,75,71.25,78.75,147.0,120.2,136.9,177.0
01 11 1994,116.6666667,98.75,92.5,87.5,101.25,128.1,195.5,121.3,134.8
01 12 1994,135,108.75,106.25,107.5,115,183.6,183.6,146.2,163.2
01 01 1995,70,52.5,58.75,60,58.75,178.4,171.5,181.8,147.5
01 02 1995,110,86.25,90,91.25,95,166.1,124.6,173.0,173.0
01 03 1995,141.6666667,112.5,106.25,107.5,116.25,160.5,132.6,171.0,178.0
01 04 1995,58.33333333,48.75,52.5,51.25,55,172.5,151.4,137.3,154.9
01 05 1995,78.33333333,60,58.75,61.25,66.25,152.7,170.4,177.5,177.5
01 06 1995,98.33333333,75,110,73.33333333,83.75,136.0,207.6,171.8,143.2
01 07 1995,115,91.25,88.75,100,123.75,162.5,155.2,144.4,184.1
01 08 1995,83.33333333,76.25,66.25,75,73.75,142.0,163.8,174.7,174.7
01 09 1995,141.6666667,125,106.25,113.75,116.25,194.5,143.1,205.5,198.2
01 10 1995,140,121.25,121.25,111.25,115,155.4,214.6,207.2,144.3
01 11 1995,110,95,98.75,95,90,194.0,179.0,216.3,179.0
01 12 1995,125,101.25,111.25,102.5,101.25,135.4,169.2,161.7,146.6
01 01 1996,90,51.25,101.25,61.25,68.75,140.2,197.1,200.9,155.4
01 02 1996,60,43.75,66.25,40,53.75,168.1,221.6,187.2,145.2
01 03 1996,106.6666667,98.75,92.5,87.5,95,184.8,165.6,207.9,188.6
01 04 1996,86.66666667,77.5,91.25,83.75,82.5,170.7,182.4,213.4,163.0
01 05 1996,141.6666667,127.5,118.75,130,126.25,156.4,168.1,156.4,219.0
01 06 1996,116.6666667,105,102.5,102.5,98.75,149.7,197.0,141.8,157.6
01 07 1996,158.3333333,132.5,136.25,123.75,125,198.5,162.8,150.9,210.4
01 08 1996,108.3333333,92.5,95,96.25,90,216.0,216.0,192.0,188.0
01 09 1996,83.33333333,77.5,81.25,91.25,81.25,185.4,157.2,149.1,217.6
01 10 1996,121.6666667,116.25,100,108.75,108.75,198.9,150.2,166.5,207.1
01 11 1996,135,112.5,112.5,108.75,106.25,151.3,184.0,180.0,224.9
01 12 1996,90,73.75,81.25,80,73.75,201.9,210.1,189.5,234.8
01 01 1997,150,125,138.75,135,128.75,166.0,211.6,203.3,195.0
01 02 1997,150,132.5,135,140,132.5,192.3,179.7,163.0,175.6
01 03 1997,106.6666667,85,111.25,90,98.75,176.8,172.6,181.0,210.5
01 04 1997,80,65,113.75,63.75,71.25,207.8,229.0,212.0,161.1
01 05 1997,63.33333333,50,70,55,50,213.5,187.9,234.8,213.5
01 06 1997,101.6666667,83.75,125,92.5,91.25,184.9,163.4,193.5,172.0
01 07 1997,88.33333333,70,121.25,77.5,76.25,229.5,238.1,194.9,173.2
01 08 1997,65,35,101.25,43.75,52.5,248.5,200.6,161.3,196.2
01 09 1997,71.66666667,41.25,110,66.25,52.5,250.2,184.4,245.8,223.9
01 10 1997,133.3333333,103.75,140,115,111.25,251.9,172.4,190.1,225.4
01 11 1997,133.3333333,111.25,132.5,116.25,112.5,182.5,213.6,213.6,227.0
01 12 1997,116.6666667,95,107.5,97.5,90,165.8,246.4,250.9,250.9
01 01 1998,86.66666667,77.5,93.75,90,87.5,162.4,189.4,212.0,225.5
01 02 1998,141.6666667,122.5,133.75,133.75,128.75,213.4,177.1,195.2,222.5
01 03 1998,168.3333333,146.25,160,152.5,143.75,169.1,242.2,260.5,191.9
01 04 1998,121.6666667,106.25,110,115,107.5,216.2,170.2,170.2,257.6
01 05 1998,161.6666667,136.25,151.25,148.75,141.25,268.5,199.1,259.3,189.8
01 06 1998,73.33333333,65,62.5,52.5,52.5,256.3,270.3,219.0,205.0
01 07 1998,101.6666667,75,120,70,77.5,243.9,267.3,220.4,258.0
01 08 1998,35,10,88.75,17.5,25,217.1,245.4,245.4,169.9
01 09 1998,18.33333333,16.25,50,16.25,25,190.0,242.3,199.5,232.8
01 10 1998,11.66666667,11.25,5,11.25,22.5,186.4,258.1,205.5,196.0
